prompt,class,environment,style,amount
A single modern style chair in the living room.,chair,living room,modern,Single
Two modern style chairs in the living room.,chair,living room,modern,Two
Three modern chairs in the living room.,chair,living room,modern,Three
Two modern style chairs in a living room.,chair,living room,modern,Multiple
A single minimalist-style chair in the living room.,chair,living room,minimalist,Single
Two minimalist chairs in the living room.,chair,living room,minimalist,Two
Three minimalist chairs in the living room.,chair,living room,minimalist,Three
Minimalist living room with two chairs.,chair,living room,minimalist,Multiple
A single chair with a rustic style in the living room.,chair,living room,rustic,Single
Two rustic chairs in the living room.,chair,living room,rustic,Two
Three rustic chairs in the living room.,chair,living room,rustic,Three
"

A rustic living room with two aged wooden chairs and a third, larger one with intricate carvings.",chair,living room,rustic,Multiple
"

A single industrial-style chair in a living room.",chair,living room,industrial,Single
Two industrial style chairs in the living room.,chair,living room,industrial,Two
Three industrial-style chairs in the living room.,chair,living room,industrial,Three
"

A living room with an industrial theme, featuring multiple chairs.",chair,living room,industrial,Multiple
"A single, opulent chair in a richly decorated living room.",chair,living room,luxury,Single
Two luxury chairs in the living room.,chair,living room,luxury,Two
Three luxury chairs in the living room.,chair,living room,luxury,Three
"

Luxury living room featuring five identical, plush velvet chairs with gold accents.",chair,living room,luxury,Multiple
A vintage-style armchair in the living room.,chair,living room,vintage,Single
Two vintage chairs in the living room.,chair,living room,vintage,Two
Three vintage chairs in the living room.,chair,living room,vintage,Three
"

A vintage living room with two mismatched chairs.",chair,living room,vintage,Multiple
A single chair in a living room with a scandinavian design.,chair,living room,scandinavian,Single
Two Scandinavian-style chairs in the living room.,chair,living room,scandinavian,Two
Three chairs in a living room with a Scandinavian style.,chair,living room,scandinavian,Three
"

A living room adorned with Scandinavian charm, featuring an even number of chairs.",chair,living room,scandinavian,Multiple
"A single chair in the living room with a messy, bohemian style.",chair,living room,messy,Single
Two mismatched chairs in a cluttered living room.,chair,living room,messy,Two
Three chairs in a living room with a messy style.,chair,living room,messy,Three
"

Five mismatched chairs in a cluttered living room.",chair,living room,messy,Multiple
A single clean-lined chair in the living room.,chair,living room,clean,Single
Two chairs in a clean living room.,chair,living room,clean,Two
Three clean-lined chairs in the living room.,chair,living room,clean,Three
Two white chairs in a minimalist living room. A blue armchair and a wooden chair in a rustic living room. A red chair and a black chair in a contrasting living room. A green chair and a beige chair in a natural,chair,living room,clean,Multiple
A single chair in the living room with a plush velvet cushion and a wooden frame.,chair,living room,cozy,Single
Two chairs in a living room with a cozy style.,chair,living room,cozy,Two
"Three chairs in a living room with a rustic, homely feel.",chair,living room,cozy,Three
"

Five plush armchairs arranged in a circle around a low coffee table in a cozy living room.",chair,living room,cozy,Multiple
A modern bedroom with a single chair.,chair,bedroom,modern,Single
Two modern style chairs in the bedroom.,chair,bedroom,modern,Two
Three modern chairs in the bedroom.,chair,bedroom,modern,Three
Two modern style chairs in a bedroom.,chair,bedroom,modern,Multiple
A minimalist bedroom with a single chair.,chair,bedroom,minimalist,Single
Two minimalist style chairs in a bedroom.,chair,bedroom,minimalist,Two
Three minimalist chairs in the bedroom.,chair,bedroom,minimalist,Three
Minimalist bedroom with two identical chairs.,chair,bedroom,minimalist,Multiple
A rustic bedroom chair.,chair,bedroom,rustic,Single
Two rustic chairs in a bedroom.,chair,bedroom,rustic,Two
Three rustic chairs in the bedroom.,chair,bedroom,rustic,Three
"

A rustic bedroom with two wooden chairs by the window.",chair,bedroom,rustic,Multiple
"

A single industrial-style chair in a bedroom.",chair,bedroom,industrial,Single
Two industrial style chairs in the bedroom.,chair,bedroom,industrial,Two
Three industrial-style chairs in a bedroom.,chair,bedroom,industrial,Three
"

A bedroom with an industrial theme, featuring multiple chairs.",chair,bedroom,industrial,Multiple
A single chair in a bedroom with a plush velvet upholstery and a gold-plated metal frame.,chair,bedroom,luxury,Single
Two luxury chairs in a bedroom.,chair,bedroom,luxury,Two
Three luxury chairs in a bedroom.,chair,bedroom,luxury,Three
A pair of plush velvet chairs by the bedroom window with a view of the garden.,chair,bedroom,luxury,Multiple
A vintage-style chair in the bedroom.,chair,bedroom,vintage,Single
Two vintage chairs in the bedroom.,chair,bedroom,vintage,Two
Three vintage chairs in the bedroom.,chair,bedroom,vintage,Three
"

A vintage bedroom with two matching chairs by the window.",chair,bedroom,vintage,Multiple
A single chair in a bedroom with a scandinavian design.,chair,bedroom,scandinavian,Single
Two Scandinavian-style chairs in a bedroom.,chair,bedroom,scandinavian,Two
Three chairs in a bedroom with a Scandinavian style.,chair,bedroom,scandinavian,Three
"

A Scandinavian-style bedroom with two chairs by the window.",chair,bedroom,scandinavian,Multiple
A single chair in a bedroom with a messy style.,chair,bedroom,messy,Single
Two mismatched chairs in a bedroom with a messy style.,chair,bedroom,messy,Two
Three chairs in a bedroom with a messy style.,chair,bedroom,messy,Three
"

A bedroom cluttered with books and knick-knacks, featuring five mismatched chairs.",chair,bedroom,messy,Multiple
A single clean-lined chair in the bedroom.,chair,bedroom,clean,Single
Two chairs in a clean bedroom.,chair,bedroom,clean,Two
Three chairs in a bedroom with a clean design.,chair,bedroom,clean,Three
Two clean-lined chairs in a minimalist bedroom.,chair,bedroom,clean,Multiple
A single chair in a bedroom with a plush velvet upholstery and a warm color palette.,chair,bedroom,cozy,Single
Two chairs in a cozy bedroom.,chair,bedroom,cozy,Two
Three chairs in a cozy bedroom.,chair,bedroom,cozy,Three
"

A pair of plush armchairs and a matching ottoman in a cozy bedroom.",chair,bedroom,cozy,Multiple
A single modern kitchen chair.,chair,kitchen,modern,Single
Two chairs in the kitchen with a modern style.,chair,kitchen,modern,Two
Three chairs in a kitchen with a modern design.,chair,kitchen,modern,Three
Modern kitchen with two chairs at a counter.,chair,kitchen,modern,Multiple
"

Minimalist kitchen with a single chair.",chair,kitchen,minimalist,Single
Two minimalist style chairs in the kitchen.,chair,kitchen,minimalist,Two
Three minimalist chairs in the kitchen.,chair,kitchen,minimalist,Three
Minimalist kitchen with two chairs at a small table.,chair,kitchen,minimalist,Multiple
A single chair in the kitchen with a rustic style.,chair,kitchen,rustic,Single
Two rustic chairs in the kitchen.,chair,kitchen,rustic,Two
Three rustic chairs in the kitchen.,chair,kitchen,rustic,Three
"

A rustic kitchen with two wooden chairs at a large wooden table.",chair,kitchen,rustic,Multiple
"

A single industrial-style chair in the kitchen.",chair,kitchen,industrial,Single
Two industrial style chairs in the kitchen.,chair,kitchen,industrial,Two
Three industrial style chairs in the kitchen.,chair,kitchen,industrial,Three
"

A set of three industrial-style chairs around a kitchen island.",chair,kitchen,industrial,Multiple
"

A single chair in a kitchen, upholstered in soft leather, with ornate carvings and gold accents.",chair,kitchen,luxury,Single
Two luxury chairs in the kitchen.,chair,kitchen,luxury,Two
Three chairs in a kitchen with a luxury style.,chair,kitchen,luxury,Three
"

A set of three high-end kitchen chairs, upholstered in soft leather, with ornate carvings and gold accents.",chair,kitchen,luxury,Multiple
"

A single vintage-style kitchen chair with a distressed finish and ornate carvings.",chair,kitchen,vintage,Single
Two vintage chairs in the kitchen.,chair,kitchen,vintage,Two
Three vintage chairs in the kitchen.,chair,kitchen,vintage,Three
"

A vintage kitchen with two chairs at a small table, adorned with floral patterns.",chair,kitchen,vintage,Multiple
"

A single chair in a kitchen, featuring Scandinavian design.",chair,kitchen,scandinavian,Single
Two chairs in a kitchen with a Scandinavian style.,chair,kitchen,scandinavian,Two
Three chairs in a kitchen with a Scandinavian style.,chair,kitchen,scandinavian,Three
"

A Scandinavian-style kitchen with two chairs at a wooden table by the window.",chair,kitchen,scandinavian,Multiple
"

A single kitchen chair with a messy, lived-in appearance.",chair,kitchen,messy,Single
Two chairs in the kitchen with a messy style.,chair,kitchen,messy,Two
Three chairs in the kitchen with a messy style.,chair,kitchen,messy,Three
