,prompt,class,environment,weather,amount
0,"

A single tugboat at rest in a sunny port.",tugboat,port,sunny,Single
1,Two tugboats in the port under a sunny sky.,tugboat,port,sunny,Two
2,Three tugboats in a sunny port.,tugboat,port,sunny,Three
3,"

A sunny day at the port with multiple tugboats anchored.",tugboat,port,sunny,Multiple
4,"

A single tugboat in the port, shrouded by cloudy weather.",tugboat,port,cloudy,Single
5,Two tugboats in the port during cloudy weather.,tugboat,port,cloudy,Two
6,Three tugboats in a port under cloudy weather.,tugboat,port,cloudy,Three
7,"

A tugboat at anchor in the port, surrounded by gray clouds.",tugboat,port,cloudy,Multiple
8,"

A single tugboat in the port during rainy weather.",tugboat,port,rainy,Single
9,Two tugboats in the port during rainy weather.,tugboat,port,rainy,Two
10,Three tugboats in the port during rainy weather.,tugboat,port,rainy,Three
11,"

A tugboat anchored in the port during a rainy day.",tugboat,port,rainy,Multiple
12,"

A single tugboat in the port amidst stormy weather.",tugboat,port,stormy,Single
13,Two tugboats in the port during a storm.,tugboat,port,stormy,Two
14,Three tugboats in a port during a storm.,tugboat,port,stormy,Three
15,"

A tugboat anchored in the port, waves crashing against its hull in the stormy weather.",tugboat,port,stormy,Multiple
16,"

A single tugboat in the port, shrouded in snowfall.",tugboat,port,snowy,Single
17,Two tugboats in a snowy port.,tugboat,port,snowy,Two
18,Three tugboats in a snowy port.,tugboat,port,snowy,Three
19,"

A snowy port scene with multiple tugboats at anchor.",tugboat,port,snowy,Multiple
20,"

A single tugboat in the port, shrouded in fog.",tugboat,port,foggy,Single
21,Two tugboats in the port amidst foggy conditions.,tugboat,port,foggy,Two
22,Three tugboats in a port shrouded in fog.,tugboat,port,foggy,Three
23,"

A tugboat anchored in the port, shrouded in fog.",tugboat,port,foggy,Multiple
24,"

A single tugboat in the port, battling against the windy conditions.",tugboat,port,windy,Single
25,Two tugboats in the port during windy weather.,tugboat,port,windy,Two
26,Three tugboats in a port during windy weather.,tugboat,port,windy,Three
27,"

A tugboat anchored in the port, weathered by windy conditions.",tugboat,port,windy,Multiple
28,"

A single tugboat at rest in a clear port.",tugboat,port,clear,Single
29,Two tugboats in the port with clear weather.,tugboat,port,clear,Two
30,Three tugboats in a clear port.,tugboat,port,clear,Three
31,"

Clear day in the port. Two tugboats moored side by side.",tugboat,port,clear,Multiple
32,"

A single tugboat in the harbor under a sunny sky.",tugboat,harbor,sunny,Single
33,Two tugboats in a sunny harbor.,tugboat,harbor,sunny,Two
34,Three tugboats in a sunny harbor.,tugboat,harbor,sunny,Three
35,"

A sunny harbor with a tugboat at anchor.",tugboat,harbor,sunny,Multiple
36,"

A single tugboat in the harbor under cloudy skies.",tugboat,harbor,cloudy,Single
37,Two tugboats in a harbor under cloudy weather.,tugboat,harbor,cloudy,Two
38,Three tugboats in a harbor under cloudy weather.,tugboat,harbor,cloudy,Three
39,"

A tugboat at anchor in a cloudy harbor.",tugboat,harbor,cloudy,Multiple
40,"

A single tugboat in the harbor during rainy weather.",tugboat,harbor,rainy,Single
41,Two tugboats in the harbor during rainy weather.,tugboat,harbor,rainy,Two
42,Three tugboats in a harbor during rainy weather.,tugboat,harbor,rainy,Three
43,"

A tugboat anchored in the harbor during a rainy day.",tugboat,harbor,rainy,Multiple
44,"

A lone tugboat in the harbor during a stormy weather.",tugboat,harbor,stormy,Single
45,Two tugboats in the harbor during a storm.,tugboat,harbor,stormy,Two
46,Three tugboats in a harbor during a storm.,tugboat,harbor,stormy,Three
47,"

A tugboat anchored in the harbor during a stormy weather.",tugboat,harbor,stormy,Multiple
48,"

A single tugboat in a snowy harbor.",tugboat,harbor,snowy,Single
49,Two tugboats in a snowy harbor.,tugboat,harbor,snowy,Two
50,Three tugboats in a snowy harbor.,tugboat,harbor,snowy,Three
51,"

A tugboat at rest in the harbor, surrounded by snow-covered docks and ships.",tugboat,harbor,snowy,Multiple
52,"

A single tugboat in the harbor amidst foggy conditions.",tugboat,harbor,foggy,Single
53,Two tugboats in the harbor with foggy weather.,tugboat,harbor,foggy,Two
54,Three tugboats in a harbor shrouded in fog.,tugboat,harbor,foggy,Three
55,"

A tugboat anchored in the harbor, shrouded in fog.",tugboat,harbor,foggy,Multiple
56,"

A single tugboat in the harbor during a windy day.",tugboat,harbor,windy,Single
57,Two tugboats in a harbor during windy weather.,tugboat,harbor,windy,Two
58,Three tugboats in a harbor during windy weather.,tugboat,harbor,windy,Three
59,"

A tugboat anchored in the harbor during a windy day.",tugboat,harbor,windy,Multiple
60,"

A single tugboat in a clear harbor.",tugboat,harbor,clear,Single
61,Two tugboats in the harbor with clear weather.,tugboat,harbor,clear,Two
62,Three tugboats in a clear harbor.,tugboat,harbor,clear,Three
63,"

A clear harbor with a solitary tugboat anchored.",tugboat,harbor,clear,Multiple
64,"

A single tugboat in a sunny marina.",tugboat,marina,sunny,Single
65,Two tugboats in a marina under a sunny sky.,tugboat,marina,sunny,Two
66,Three tugboats in a marina under a sunny sky.,tugboat,marina,sunny,Three
67,"

A sunny marina filled with multiple tugboats.",tugboat,marina,sunny,Multiple
68,"

A single tugboat in the marina, surrounded by calm waters, under a cloudy sky.",tugboat,marina,cloudy,Single
69,Two tugboats in a marina under cloudy weather.,tugboat,marina,cloudy,Two
70,Three tugboats in a marina under cloudy weather.,tugboat,marina,cloudy,Three
71,"

A tugboat anchored in the marina, surrounded by gentle waves. The sky is overcast with thick, grey clouds.",tugboat,marina,cloudy,Multiple
72,"

A single tugboat in the marina during rainy weather.",tugboat,marina,rainy,Single
73,Two tugboats in a marina during rainy weather.,tugboat,marina,rainy,Two
74,Three tugboats in a marina during rainy weather.,tugboat,marina,rainy,Three
75,"

A tugboat anchored in the marina during a rainy day.",tugboat,marina,rainy,Multiple
76,"

A single tugboat in the marina amidst stormy weather.",tugboat,marina,stormy,Single
77,Two tugboats in a marina during a storm.,tugboat,marina,stormy,Two
78,Three tugboats in a marina during a storm.,tugboat,marina,stormy,Three
79,"

A tugboat anchored in the marina, waves crashing against its hull in the stormy weather.",tugboat,marina,stormy,Multiple
80,"

A single tugboat in a marina, surrounded by ice floes, under a snowy sky.",tugboat,marina,snowy,Single
81,Two tugboats in a marina under snowy weather.,tugboat,marina,snowy,Two
82,Three tugboats in a marina under snowfall.,tugboat,marina,snowy,Three
83,"

A snow-covered marina with a lone tugboat at anchor.",tugboat,marina,snowy,Multiple
84,"

A single tugboat in the marina, shrouded in fog.",tugboat,marina,foggy,Single
85,Two tugboats in a marina shrouded in fog.,tugboat,marina,foggy,Two
86,Three tugboats in a marina shrouded in fog.,tugboat,marina,foggy,Three
87,"

A tugboat anchored in the marina, surrounded by a thick layer of fog.",tugboat,marina,foggy,Multiple
88,"

A single tugboat in the marina, weathered by wind.",tugboat,marina,windy,Single
89,Two tugboats in a marina during windy weather.,tugboat,marina,windy,Two
90,Three tugboats in a marina during windy weather.,tugboat,marina,windy,Three
91,"

A tugboat anchored in the marina, weathered by windy conditions.",tugboat,marina,windy,Multiple
92,"

A single tugboat in a marina with clear weather.",tugboat,marina,clear,Single
93,Two tugboats in a marina with clear weather.,tugboat,marina,clear,Two
94,Three tugboats in a marina with clear weather.,tugboat,marina,clear,Three
95,"

Clear day at the marina. A line of three tugboats.",tugboat,marina,clear,Multiple
96,"

A single tugboat at rest in a sun-kissed dock.",tugboat,dock,sunny,Single
97,Two tugboats at a sunny dock.,tugboat,dock,sunny,Two
98,Three tugboats at a sunny dock.,tugboat,dock,sunny,Three
99,"

A sunny day at the dock. A single tugboat anchored, its red and white stripes reflecting off the calm water.",tugboat,dock,sunny,Multiple
100,"

A single tugboat at rest in the dock, surrounded by the gray haze of a cloudy day.",tugboat,dock,cloudy,Single
101,Two tugboats at a dock during cloudy weather.,tugboat,dock,cloudy,Two
102,Three tugboats at a dock during cloudy weather.,tugboat,dock,cloudy,Three
103,"

A tugboat at the dock during cloudy weather.",tugboat,dock,cloudy,Multiple
104,"

A single tugboat in the dock during rainy weather.",tugboat,dock,rainy,Single
105,Two tugboats in a rainy dock.,tugboat,dock,rainy,Two
106,Three tugboats in a rainy dock.,tugboat,dock,rainy,Three
107,"

A tugboat at the dock during rainfall.",tugboat,dock,rainy,Multiple
108,"

A single tugboat at dock during a stormy weather.",tugboat,dock,stormy,Single
109,Two tugboats at the dock during a storm.,tugboat,dock,stormy,Two
110,Three tugboats at dock during stormy weather.,tugboat,dock,stormy,Three
111,"

A tugboat at the dock during a stormy weather.",tugboat,dock,stormy,Multiple
112,"

A single tugboat at rest in a snowy dock.",tugboat,dock,snowy,Single
113,Two tugboats in a snowy dock.,tugboat,dock,snowy,Two
114,Three tugboats at a dock during a snowstorm.,tugboat,dock,snowy,Three
115,"

A tugboat at rest in a snowy dock.",tugboat,dock,snowy,Multiple
116,"

A single tugboat at rest in the dock, enshrouded by fog.",tugboat,dock,foggy,Single
117,Two tugboats in a foggy dock.,tugboat,dock,foggy,Two
118,Three tugboats in a foggy dock.,tugboat,dock,foggy,Three
119,"

A tugboat at rest in the foggy dock.",tugboat,dock,foggy,Multiple
120,"

A single tugboat at dock during windy weather.",tugboat,dock,windy,Single
121,Two tugboats at dock during windy weather.,tugboat,dock,windy,Two
122,Three tugboats at dock during windy weather.,tugboat,dock,windy,Three
123,"

A tugboat at the dock during a windy day. The ropes securing it to the pier creak and sway in the gusts. The tugboat's hull rocks gently against the dock, spraying water dro",tugboat,dock,windy,Multiple
124,"

A single tugboat at rest in a clear dock.",tugboat,dock,clear,Single
125,Two tugboats at a dock in clear weather.,tugboat,dock,clear,Two
126,Three tugboats at a dock in clear weather.,tugboat,dock,clear,Three
127,"

A tugboat at rest in a clear harbor.",tugboat,dock,clear,Multiple
128,"

A single tugboat in a shipyard under a sunny sky.",tugboat,shipyard,sunny,Single
129,Two tugboats in a shipyard under a sunny sky.,tugboat,shipyard,sunny,Two
130,Three tugboats in a shipyard under a sunny sky.,tugboat,shipyard,sunny,Three
131,"

A sunny day in the shipyard. A tugboat at anchor, its red hull reflecting the sunlight, surrounded by workers in orange jumpsuits, repairing and maintaining its engine. Another tugboat undergoes a paint",tugboat,shipyard,sunny,Multiple
132,"

A single tugboat in the shipyard under cloudy skies.",tugboat,shipyard,cloudy,Single
133,Two tugboats in a shipyard under cloudy weather.,tugboat,shipyard,cloudy,Two
134,Three tugboats in a shipyard under cloudy weather.,tugboat,shipyard,cloudy,Three
135,"

A tugboat in the shipyard, surrounded by rain-soaked pavement, with gray clouds looming overhead.",tugboat,shipyard,cloudy,Multiple
136,"

A single tugboat in the shipyard during rainy weather.",tugboat,shipyard,rainy,Single
137,Two tugboats in a shipyard during rainy weather.,tugboat,shipyard,rainy,Two
138,Three tugboats in a shipyard during rainy weather.,tugboat,shipyard,rainy,Three
139,"

A tugboat in the shipyard during rainy weather.",tugboat,shipyard,rainy,Multiple
140,"

A single tugboat in the shipyard during a stormy weather.",tugboat,shipyard,stormy,Single
141,Two tugboats in a shipyard during a storm.,tugboat,shipyard,stormy,Two
142,Three tugboats in a shipyard during a storm.,tugboat,shipyard,stormy,Three
143,"

A tugboat in the shipyard during a stormy weather.",tugboat,shipyard,stormy,Multiple
144,"

A single tugboat in a shipyard, surrounded by snow-covered structures and equipment. The tugboat's hull is coated in a thick layer of frost, its winch and anchors glistening in the dim",tugboat,shipyard,snowy,Single
145,Two tugboats in a shipyard during a snowstorm.,tugboat,shipyard,snowy,Two
146,Three tugboats in a shipyard under snowfall.,tugboat,shipyard,snowy,Three
147,"

A tugboat in the shipyard, surrounded by snowdrifts.",tugboat,shipyard,snowy,Multiple
148,"

A single tugboat in the shipyard, shrouded in fog.",tugboat,shipyard,foggy,Single
149,Two tugboats in a shipyard shrouded in fog.,tugboat,shipyard,foggy,Two
150,Three tugboats in a shipyard shrouded in fog.,tugboat,shipyard,foggy,Three
151,"

A tugboat in the shipyard, surrounded by rusting metal structures, as the fog thickens, obscuring the harbor and the surrounding landscape.",tugboat,shipyard,foggy,Multiple
152,"

A single tugboat in the shipyard, weathered by wind.",tugboat,shipyard,windy,Single
153,Two tugboats in a shipyard during windy weather.,tugboat,shipyard,windy,Two
154,Three tugboats in a shipyard during windy weather.,tugboat,shipyard,windy,Three
155,"

Multiple tugboats in a shipyard during a windy day.",tugboat,shipyard,windy,Multiple
156,"

A single tugboat in a shipyard with a clear sky.",tugboat,shipyard,clear,Single
157,Two tugboats in a shipyard with clear weather.,tugboat,shipyard,clear,Two
158,Three tugboats in a shipyard with clear weather.,tugboat,shipyard,clear,Three
159,"

Clear day in the shipyard. A line of three tugboats, idling, their red and white hulls reflecting in the calm water.",tugboat,shipyard,clear,Multiple
160,"

A sunny day at the beach. A single tugboat rests on the sandy shore.",tugboat,beach,sunny,Single
161,Two tugboats on a sunny beach.,tugboat,beach,sunny,Two
162,Three tugboats on a sunny beach.,tugboat,beach,sunny,Three
163,"

A sunny beach with a tugboat anchored in the shallow water.",tugboat,beach,sunny,Multiple
164,"

A single tugboat on the beach under cloudy weather.",tugboat,beach,cloudy,Single
165,Two tugboats on a cloudy beach.,tugboat,beach,cloudy,Two
166,Three tugboats on a cloudy beach.,tugboat,beach,cloudy,Three
167,"

A tugboat on the beach in a cloudy weather.",tugboat,beach,cloudy,Multiple
168,"

A single tugboat on the beach in the rain.",tugboat,beach,rainy,Single
169,Two tugboats on a rainy beach.,tugboat,beach,rainy,Two
170,Three tugboats on a rainy beach.,tugboat,beach,rainy,Three
171,"

A tugboat on the rain-soaked beach, waves crashing against its hull.",tugboat,beach,rainy,Multiple
172,"

A lone tugboat rests on the sandy shore as the sky darkens with ominous clouds. The waves crash against the boat, spraying saltwater in all directions. The wind howls, whipping up the sand",tugboat,beach,stormy,Single
173,Two tugboats on the beach in a stormy weather.,tugboat,beach,stormy,Two
174,Three tugboats on the beach in a stormy weather.,tugboat,beach,stormy,Three
175,"

A tugboat beached in a stormy seascape, waves crashing against its hull.",tugboat,beach,stormy,Multiple
176,"

A single tugboat on a snowy beach.",tugboat,beach,snowy,Single
177,Two tugboats on a snowy beach.,tugboat,beach,snowy,Two
178,Three tugboats on a snowy beach.,tugboat,beach,snowy,Three
179,"

A tugboat on the beach, surrounded by drifts of snow.",tugboat,beach,snowy,Multiple
180,"

A single tugboat on the beach in the foggy conditions.",tugboat,beach,foggy,Single
181,Two tugboats on a foggy beach.,tugboat,beach,foggy,Two
182,Three tugboats on a foggy beach.,tugboat,beach,foggy,Three
183,"

A tugboat anchored on the sandy beach in the foggy morning.",tugboat,beach,foggy,Multiple
184,"

A single tugboat on the beach in a windy condition.",tugboat,beach,windy,Single
185,Two tugboats on a windy beach.,tugboat,beach,windy,Two
186,Three tugboats on a windy beach.,tugboat,beach,windy,Three
187,"

A tugboat anchored on the sandy beach, waves crashing against its hull as the wind howls through the air.",tugboat,beach,windy,Multiple
188,"

A single tugboat on the sandy beach under clear skies.",tugboat,beach,clear,Single
189,Two tugboats on a clear beach.,tugboat,beach,clear,Two
190,Three tugboats on a clear beach.,tugboat,beach,clear,Three
191,"

A clear day at the beach. A solitary tugboat rests on the sand, its red hull reflecting the sun's rays. The water is calm and still, with gentle waves lapping at the shore. The",tugboat,beach,clear,Multiple
192,"

A single tugboat at a rocky coast under a sunny sky.",tugboat,rocky coast,sunny,Single
193,Two tugboats in the rocky coast under a sunny sky.,tugboat,rocky coast,sunny,Two
194,Three tugboats at a rocky coast under a sunny sky.,tugboat,rocky coast,sunny,Three
195,"

A tugboat anchored in a rocky coast under a sunny sky.",tugboat,rocky coast,sunny,Multiple
196,"

A single tugboat at a rocky coast under cloudy weather.",tugboat,rocky coast,cloudy,Single
197,Two tugboats in the rocky coast under cloudy weather.,tugboat,rocky coast,cloudy,Two
198,Three tugboats on a rocky coast under cloudy weather.,tugboat,rocky coast,cloudy,Three
199,"

A tugboat anchored in a rocky coast under cloudy weather.",tugboat,rocky coast,cloudy,Multiple
200,"

A single tugboat anchored in a rocky coast during rainy weather.",tugboat,rocky coast,rainy,Single
201,Two tugboats in the rocky coast during rainy weather.,tugboat,rocky coast,rainy,Two
202,Three tugboats in the rocky coast during rainy weather.,tugboat,rocky coast,rainy,Three
203,"

A tugboat anchored in a rocky coast during a rainy day.",tugboat,rocky coast,rainy,Multiple
204,"

A single tugboat anchored in a rocky coast during a stormy weather.",tugboat,rocky coast,stormy,Single
205,Two tugboats in the rocky coast during a storm.,tugboat,rocky coast,stormy,Two
206,Three tugboats on a rocky coast during a storm.,tugboat,rocky coast,stormy,Three
207,"

A tugboat anchored in a rocky coast during a stormy weather.",tugboat,rocky coast,stormy,Multiple
208,"

A single tugboat anchored in a rocky coast, shrouded in a snowy weather.",tugboat,rocky coast,snowy,Single
209,Two tugboats in the rocky coast under a snowy weather.,tugboat,rocky coast,snowy,Two
210,Three tugboats in the rocky coast under a snowy weather.,tugboat,rocky coast,snowy,Three
211,"

A tugboat anchored in a rocky coast, shrouded in snowfall.",tugboat,rocky coast,snowy,Multiple
212,"

A single tugboat anchored in a rocky coast, shrouded in foggy weather.",tugboat,rocky coast,foggy,Single
213,Two tugboats in the rocky coast with foggy weather.,tugboat,rocky coast,foggy,Two
214,Three tugboats in the rocky coast with foggy weather.,tugboat,rocky coast,foggy,Three
215,"

A tugboat anchored in a rocky coast, shrouded in fog.",tugboat,rocky coast,foggy,Multiple
216,"

A single tugboat at a rocky coast under windy conditions.",tugboat,rocky coast,windy,Single
217,Two tugboats in the rocky coast under windy conditions.,tugboat,rocky coast,windy,Two
218,Three tugboats on a rocky coast in windy weather.,tugboat,rocky coast,windy,Three
219,"

A tugboat anchored in a rocky coast during a windy day.",tugboat,rocky coast,windy,Multiple
220,"

A single tugboat at a rocky coast under clear skies.",tugboat,rocky coast,clear,Single
221,Two tugboats in the rocky coast with clear weather.,tugboat,rocky coast,clear,Two
222,Three tugboats at a rocky coast under clear skies.,tugboat,rocky coast,clear,Three
223,"

A tugboat anchored in a rocky coast with clear weather.",tugboat,rocky coast,clear,Multiple
224,"

A single tugboat anchored at a cliffside coast under a sunny sky.",tugboat,cliffside coast,sunny,Single
225,Two tugboats at a cliffside coast under a sunny sky.,tugboat,cliffside coast,sunny,Two
226,Three tugboats at the cliffside coast under a sunny sky.,tugboat,cliffside coast,sunny,Three
227,"

A tugboat anchored at the cliffside coast under a sunny sky.",tugboat,cliffside coast,sunny,Multiple
228,"

A single tugboat anchored at a cliffside coast under cloudy weather.",tugboat,cliffside coast,cloudy,Single
229,Two tugboats at a cliffside coast under cloudy weather.,tugboat,cliffside coast,cloudy,Two
230,Three tugboats at the cliffside coast under cloudy weather.,tugboat,cliffside coast,cloudy,Three
231,"

A tugboat anchored at the cliffside coast, weathered by the cloudy sky.",tugboat,cliffside coast,cloudy,Multiple
232,"

A single tugboat anchored at a cliffside coast during a rainy day.",tugboat,cliffside coast,rainy,Single
233,Two tugboats at a cliffside coast during rainy weather.,tugboat,cliffside coast,rainy,Two
