,index,prompt,class,environment,weather,amount
0,0,"

A red car parked on a sun-kissed city street.",car,city_street,sunny,Single
1,1,"

Two cars, red and blue, parked side by side on a bustling city street under the clear, sunny sky.",car,city_street,sunny,Two
2,2,"Three cars in a vibrant city street under a sunny sky. Red, blue, and yellow cars parked alongside each other.",car,city_street,sunny,Three
3,3,"

Sunny city street with a red car and a blue car parked next to each other.",car,city_street,sunny,Multiple
4,4,"

A red car parked on a wet city street under overcast skies.
A sleek black car hidden in the shadows of a cloudy urban landscape.
A yellow taxi idling at a rain-slicked intersection during a",car,city_street,cloudy,Single
5,5,"

Two cars on a city street, shrouded in cloudy weather. One is red, the other is blue.",car,city_street,cloudy,Two
6,6,Three cars in a city street shrouded in cloudy weather.,car,city_street,cloudy,Three
7,7,"

A red car parked on a wet, cloudy city street.
A blue sedan idling at a red light in the foggy city.
A yellow convertible abandoned on a deserted, cloud-covered city street.
A",car,city_street,cloudy,Multiple
8,8,"

A red car with steamed-up windows glides through a rain-soaked city street.",car,city_street,rainy,Single
9,9,"

Two cars in a city street, rainy weather. One is red, the other is blue. Their tires splash water as they move along the wet pavement. Umbrellas open on the sidewalk as people hurry to find",car,city_street,rainy,Two
10,10,"Three cars in a city street, rainy weather. Red, yellow, and blue cars splash through puddles.",car,city_street,rainy,Three
11,11,"

A red car submerged in a rain-soaked city street, puddles reflecting the neon lights around.
A yellow taxi cab splashing through the rain, its windshield wipers working overtime.
",car,city_street,rainy,Multiple
12,12,"

A single red car submerged in a flooded city street during a storm.
A lone blue car abandoned on a rain-slicked city street amidst the storm.
A solitary yellow car engulfed by",car,city_street,stormy,Single
13,13,"

Two cars on a city street during a storm, their colors blending with the gray rain and the darkened buildings. The windshields are streaked with rain, and the tires are splashing in puddles. The head",car,city_street,stormy,Two
14,14,"Three cars in a city street during a storm, their colors blending with the gray rain and the darkened buildings.",car,city_street,stormy,Three
15,15,"

A red car submerged in a flooded city street during a storm.
A silver car abandoned on a deserted city street during a storm.
A yellow taxi cab overturned on a rain-slicked city street",car,city_street,stormy,Multiple
16,16,"

A red car glistening with fresh snow on a city street.",car,city_street,snowy,Single
17,17,"

Two cars in a city street, coated in a thick layer of snow.",car,city_street,snowy,Two
18,18,"Three cars in a city street, covered in snow.",car,city_street,snowy,Three
19,19,"

A red car buried in a snowdrift on a city street.
A blue sedan sliding on an icy road during a snowstorm.
A yellow convertible abandoned on a snow-covered city street.
A black SUV",car,city_street,snowy,Multiple
20,20,"

A single car, shrouded in fog, navigating a city street. The vehicle's outline is barely visible through the thick, swirling mist, its colors muted and indistinct. The headlights pierce the fog",car,city_street,foggy,Single
21,21,"

Two cars in a city street shrouded in fog. Car colors: silver and red.",car,city_street,foggy,Two
22,22,Three cars in a city street shrouded in fog.,car,city_street,foggy,Three
23,23,"

A red car with fogged-up windows on a city street.
A silver car lost in the thick fog on a city street.
A yellow car hidden in the dense fog on a city street.
A blue car swallowed by",car,city_street,foggy,Multiple
24,24,"

A red car on a windy city street, leaves swirling around it.
A sleek black car on a windy city street, flags flapping in the gusts.
A yellow convertible on a windy city",car,city_street,windy,Single
25,25,"

Two cars on a windy city street. Colorful buildings line the background. Autumn leaves swirl around the tires. Sunlight filters through the trees, casting dappled shadows on the pavement. The cars' flags fl",car,city_street,windy,Two
26,26,"Three cars in a bustling city street under windy weather. Red, blue, and yellow cars intermingle amidst the gusts.",car,city_street,windy,Three
27,27,"

A red car on a windy city street, leaves swirling around it.
A yellow convertible, top down, battling against the gusts on a windy city street.
A blue sedan, tires screeching",car,city_street,windy,Multiple
28,28,"

A red car parked on a bustling city street under clear skies.
A sleek black car gliding smoothly on a quiet city street during clear weather.
A yellow taxi cab waiting at a curbside on a city street",car,city_street,clear,Single
29,29,"

Two cars on a city street with clear weather.

Red and blue cars parked side by side.

A sleek black car and a vintage white one on a bustling city street.

A yellow taxi cab and a",car,city_street,clear,Two
30,30,"Three cars in a vibrant city street under clear skies. A red sedan, a blue hatchback, and a yellow convertible.",car,city_street,clear,Three
31,31,"

Clear day on a city street. A red car parked next to a blue one, both with shiny surfaces reflecting the sunlight. A yellow taxi cab hails a passenger at the corner, its roof adorned with a distinctive checkered",car,city_street,clear,Multiple
32,32,"

A red car gliding through a city street under a drizzly sky, its windshield wipers swiping rhythmically against the rain. A yellow taxi cab huddled under a tree canopy, its taxi sign flick",car,city_street,drizzle,Single
33,33,"

Two cars in a city street during drizzle, gray and reflective pavement, yellow umbrellas popping open, windshield wipers swiping back and forth, raindrops cascading from hood",car,city_street,drizzle,Two
34,34,"Three cars in a city street during a drizzle. Red, yellow, and blue cars blend into the wet asphalt.",car,city_street,drizzle,Three
35,35,"

A red car gliding through a city street under a drizzly sky, its tires leaving wet streaks on the asphalt. A yellow taxi with rain-splattered windows cruises past, its headlights cutting through the mist",car,city_street,drizzle,Multiple
36,36,"

A red car splashing through puddles on a city street during heavy rain.
A sleek black car glistening with raindrops on a wet city street.
A yellow taxi cab huddled under an awn",car,city_street,heavy_rain,Single
37,37,"

Two cars in a city street during heavy rain, reflecting neon lights. Red and blue hues dominate the scene.",car,city_street,heavy_rain,Two
38,38,"Three cars in a city street during heavy rain. Red, yellow, and blue cars splash through puddles, their headlights cutting through the downpour.",car,city_street,heavy_rain,Three
39,39,"

A red car submerged in a flooded city street during heavy rain.
A yellow taxi splashing through puddles on a rain-soaked city street.
A blue sedan abandoned on a deserted city street under heavy",car,city_street,heavy_rain,Multiple
40,40,"

A red sports car with shiny chrome details, cruising on a sun-kissed highway.",car,highway,sunny,Single
41,41,"

Two cars, identical red models, cruising side by side on a sun-kissed highway.",car,highway,sunny,Two
42,42,Three cars in a sunny highway.,car,highway,sunny,Three
43,43,"

A red sports car weaving through the sunlit highway, its reflection shimmering on the glassy surface of a nearby lake. A yellow convertible, its top down, cruising alongside, the sun casting long shadows on the road",car,highway,sunny,Multiple
44,44,"

Car on the highway, shrouded in gray clouds. Raindrops pelt the windshield, leaving streaks of water. The tires hum a steady rhythm against the wet asphalt. The exterior is a muted gray",car,highway,cloudy,Single
45,45,"

Two cars on the highway, shrouded in cloudy weather. One is red, the other is blue. Both have their headlights on, cutting through the gray mist. Raindrops splatter against their windshields,",car,highway,cloudy,Two
46,46,Three cars on a cloudy highway.,car,highway,cloudy,Three
47,47,"

Car convoy on a cloudy highway, shrouded in mist. Red, blue, and silver vehicles blend into the grayish haze. Raindrops spatter against windshields as drivers navigate the winding road.",car,highway,cloudy,Multiple
48,48,"

A red car with wipers flicking in the rain on a slick highway.",car,highway,rainy,Single
49,49,"

Two cars on a rain-slicked highway.",car,highway,rainy,Two
50,50,Three cars in the rainy highway.,car,highway,rainy,Three
51,51,"

A red car with rain-splattered windows, winding through a slick highway during a heavy rainstorm. A yellow car, its headlights cutting through the mist, following closely behind. A blue car, its wipers working over",car,highway,rainy,Multiple
52,52,"

A single car, red and shiny, abandoned on the side of the highway in a storm. Rain pelted down, making the car's surface glisten. The windshield was streaked with rain, obscuring the driver",car,highway,stormy,Single
53,53,"

Two cars on the highway, shrouded in stormy weather. One is a sleek, silver sedan, its windshield wipers frantically swiping back and forth. The other is a rusted, red pick",car,highway,stormy,Two
