new_filename,source_dataset,Unnamed: 0,prompt,class,environment,weather,amount
images/train/VOC_3651.png,VOC,3651.0,"

A sunny plain with a solitary bottle lying on the grass.",car,plain,sunny,Multiple
images/train/VOC_2056.png,VOC,2056.0,A single bird in the plain under a rainy sky.,car,plain,rainy,Single
images/train/VOC_3477.png,VOC,3477.0,"

Two bottles in the jungle, shrouded in fog.",car,jungle,foggy,Two
images/train/VOC_2740.png,VOC,2740.0,"

A solitary boat in the savanna, shrouded by fog.",car,savanna,foggy,Single
images/train/VOC_3533.png,VOC,3533.0,Two bottles in the savanna during a storm.,car,savanna,stormy,Two
images/train/VOC_3923.png,VOC,3923.0,"

A snow-covered bottle on the sidewalk.",car,street,snowy,Multiple
images/train/VOC_2676.png,VOC,2676.0,"

A solitary boat, shrouded in fog, navigates through the dense jungle waterways.",car,jungle,foggy,Single
images/train/VOC_2543.png,VOC,2543.0,A boat aground on the beach amidst stormy weather.,car,beach,stormy,Multiple
images/train/VOC_2516.png,VOC,2516.0,"

A solitary boat rests in the heart of the desert, surrounded by endless sand dunes. The foggy weather casts an eerie glow over the scene, obscuring the horizon and creating a dreamlike atmosphere. The boat appears",car,desert,foggy,Single
images/train/VOC_3551.png,VOC,3551.0,"

Clear savanna, a solitary bottle half-buried in the sand.",car,savanna,clear,Multiple
images/train/VOC_2570.png,VOC,2570.0,Three boats in a river during rain.,car,river,rainy,Three
images/train/VOC_3631.png,VOC,3631.0,"

A valley filled with shattered bottles, the wind howling through the debris, rain pelting down in torrents.",car,valley,stormy,Multiple
images/train/VOC_3932.png,VOC,3932.0,"

A single bottle on a clear street.",car,street,clear,Single
images/train/VOC_3107.png,VOC,3107.0,"

A red sailboat tied to the curb, sunny day.",car,street,sunny,Multiple
images/train/VOC_3958.png,VOC,3958.0,Three bottles in a foggy neighborhood.,car,neighborhood,foggy,Three
images/train/VOC_2568.png,VOC,2568.0,"

A single boat in the river during rainy weather.",car,river,rainy,Single
images/train/VOC_3529.png,VOC,3529.0,Two bottles in the savanna during rainy weather.,car,savanna,rainy,Two
images/train/VOC_3567.png,VOC,3567.0,"

A bottle at the edge of the canyon, weathered by the storm.",car,canyon,stormy,Multiple
images/train/VOC_3435.png,VOC,3435.0,"

A bottle half-buried in the snow, surrounded by a cluster of similar bottles. The rain falls steadily, melting the snow and creating small puddles around the bottles. The scene is quiet and still, save for the",car,snow,rainy,Multiple
images/train/VOC_2432.png,VOC,2432.0,"

A single boat hidden among the trees in a sunny forest.",car,forest,sunny,Single
images/train/VOC_3762.png,VOC,3762.0,Three bottles in an urban scene under a snowfall.,car,urban,snowy,Three
images/train/VOC_2475.png,VOC,2475.0,"

A boat lodged among mountain peaks, shrouded in rainy weather.",car,mountain,rainy,Multiple
images/train/VOC_3406.png,VOC,3406.0,Three bottles in a stormy lake.,car,lake,stormy,Three
images/train/VOC_3084.png,VOC,3084.0,"A single boat amidst the shopping mall, weathered by storm.",car,shopping_mall,stormy,Single
images/train/VOC_3977.png,VOC,3977.0,"

Two bottles in the city center during rainy weather.",car,city_center,rainy,Two
images/train/VOC_2240.png,VOC,2240.0,"A single bird in the business district, under the sunny sky.",car,business_district,sunny,Single
images/train/VOC_2308.png,VOC,2308.0,Bird alone on a wet street under cloudy sky.,car,street,cloudy,Single
images/train/VOC_2043.png,VOC,2043.0,"

A bird flock in the windy valley.",car,valley,windy,Multiple
images/train/VOC_2897.png,VOC,2897.0,Two boats in a snowy harbor.,car,normal,snowy,Two
images/train/VOC_3075.png,VOC,3075.0,"

A red sailboat anchored in a tranquil marina under a sunny sky. Shopping mall in the background.",car,shopping_mall,sunny,Multiple
images/train/VOC_3113.png,VOC,3113.0,Two boats in the street during rainy weather.,car,street,rainy,Two
images/train/VOC_3343.png,VOC,3343.0,"

A lone bottle on a rocky shore amidst the chaos of a stormy sea.",car,beach,stormy,Multiple
images/train/VOC_2463.png,VOC,2463.0,"

A boat hidden among the trees in a clear forest.",car,forest,clear,Multiple
images/train/VOC_2415.png,VOC,2415.0,"

A boat anchored in the harbor amidst stormy weather.",car,city,stormy,Multiple
images/train/VOC_3611.png,VOC,3611.0,"

A windy island shore, scattered with empty glass bottles.",car,island,windy,Multiple
images/train/VOC_2672.png,VOC,2672.0,"

A solitary boat, shrouded in mist, floats amidst the dense jungle foliage. Snowflakes gently fall, blanketing the surrounding vegetation and the boat's wooden hull with a pristine",car,jungle,snowy,Single
images/train/VOC_2210.png,VOC,2210.0,Three birds on a powerline in a sunny residential area.,car,residential,sunny,Three
images/train/VOC_3971.png,VOC,3971.0,"

A sunny city center with multiple bottles aligned on a table.",car,city_center,sunny,Multiple
images/train/VOC_3764.png,VOC,3764.0,"

A single bottle in an urban scene shrouded by fog.",car,urban,foggy,Single
images/train/VOC_2961.png,VOC,2961.0,"

Two boats in an urban setting amidst snowfall.",car,urban,snowy,Two
images/train/VOC_2789.png,VOC,2789.0,"

Two boats on an island with cloudy weather.",car,island,cloudy,Two
images/train/VOC_2750.png,VOC,2750.0,Three boats in the savanna with clear weather.,car,savanna,clear,Three
images/train/VOC_2440.png,VOC,2440.0,"

A single boat hidden among the trees in a rainy forest.",car,forest,rainy,Single
images/train/VOC_2237.png,VOC,2237.0,Two birds on a rooftop in clear weather.,car,residential,clear,Two
images/train/VOC_3308.png,VOC,3308.0,"

A solitary bottle amidst the swirling sands of a stormy desert.",car,desert,stormy,Single
images/train/VOC_3673.png,VOC,3673.0,Two bottles on a windswept plain.,car,plain,windy,Two
