,prompt,class,environment,weather,amount
0,"

A single aeroplane on a city runway under a sunny sky.",aeroplane,city,sunny,Single
1,Two aeroplanes in the city under sunny weather.,aeroplane,city,sunny,Two
2,"Three aeroplanes in the city sky, sunny weather.",aeroplane,city,sunny,Three
3,"

A sunny city skyline with six aeroplanes in formation.",aeroplane,city,sunny,Multiple
4,"

A single aeroplane in a city with cloudy weather.",aeroplane,city,cloudy,Single
5,"

Two aeroplanes in a city with cloudy weather.",aeroplane,city,cloudy,Two
6,Three aeroplanes in a city with cloudy weather.,aeroplane,city,cloudy,Three
7,"

Cloudy city skyline with multiple aeroplanes in the air.",aeroplane,city,cloudy,Multiple
8,A single aeroplane on a city runway during rainfall.,aeroplane,city,rainy,Single
9,Two aeroplanes in the city during rainy weather.,aeroplane,city,rainy,Two
10,Three aeroplanes in the city amidst rainy weather.,aeroplane,city,rainy,Three
11,"

Aeroplanes in a city during rainy weather.

Aeroplanes lined up at an airport runway in the rain.

Rain-soaked aeroplanes parked at a city airport.",aeroplane,city,rainy,Multiple
12,A single aeroplane on a city runway during a storm.,aeroplane,city,stormy,Single
13,Two aeroplanes in the city amidst stormy weather.,aeroplane,city,stormy,Two
14,Three aeroplanes in the city amidst stormy weather.,aeroplane,city,stormy,Three
15,"

Aeroplanes in a city during a stormy weather, multiple in number.",aeroplane,city,stormy,Multiple
16,A single aeroplane on a city runway amidst falling snow.,aeroplane,city,snowy,Single
17,"Two aeroplanes in a city, covered in snow.",aeroplane,city,snowy,Two
18,Three aeroplanes in a city with snowy weather.,aeroplane,city,snowy,Three
19,"

Aeroplanes on a runway in a snowy city, their wings coated with frost.",aeroplane,city,snowy,Multiple
20,"

A single aeroplane in a city with foggy weather.",aeroplane,city,foggy,Single
21,"

Two aeroplanes in the city, shrouded in fog.",aeroplane,city,foggy,Two
22,Three aeroplanes in the city shrouded by fog.,aeroplane,city,foggy,Three
23,"

Aeroplanes in a city shrouded in fog, their silhouettes barely visible against the grey sky.",aeroplane,city,foggy,Multiple
24,A single aeroplane on a city runway during windy weather.,aeroplane,city,windy,Single
25,Two aeroplanes in the city amidst windy weather.,aeroplane,city,windy,Two
26,Three aeroplanes in the city amidst windy weather.,aeroplane,city,windy,Three
27,"

Aeroplanes lined up at the city airport during a windy day.",aeroplane,city,windy,Multiple
28,"

A single aeroplane against a clear city skyline.",aeroplane,city,clear,Single
29,Two aeroplanes in the city with clear weather.,aeroplane,city,clear,Two
30,"Three aeroplanes in the city sky, clear weather.",aeroplane,city,clear,Three
31,"

Clear sky above the city, six aeroplanes in formation.",aeroplane,city,clear,Multiple
32,"A single aeroplane in the forest, sunny weather.",aeroplane,forest,sunny,Single
33,"Two aeroplanes in the forest, sunny weather.",aeroplane,forest,sunny,Two
34,"Three aeroplanes in the forest, sunny weather.",aeroplane,forest,sunny,Three
35,"

Aeroplane wreckages scattered among the trees in a sunny forest.",aeroplane,forest,sunny,Multiple
