prompt,class,environment,weather,amount
A single buffalo in the savannah under the sunny sky.,buffalo,savannah,sunny,Single
Two buffalos in the savannah under a sunny sky.,buffalo,savannah,sunny,Two
Three buffalo in the sunny savannah.,buffalo,savannah,sunny,Three
"

A herd of twenty buffalos roaming in the sun-kissed savannah.",buffalo,savannah,sunny,Multiple
A lone buffalo in the savannah under cloudy skies.,buffalo,savannah,cloudy,Single
Two buffalo in a savannah under cloudy weather.,buffalo,savannah,cloudy,Two
Three buffalo in a savannah under cloudy skies.,buffalo,savannah,cloudy,Three
"

A herd of fifteen buffalos in a cloudy savannah.",buffalo,savannah,cloudy,Multiple
A lone buffalo in the savannah during a rain shower.,buffalo,savannah,rainy,Single
Two buffalo in a savannah during rainy weather.,buffalo,savannah,rainy,Two
Three buffalo in the savannah during rainfall.,buffalo,savannah,rainy,Three
"

A herd of twenty buffalos in the savannah during a rain shower.",buffalo,savannah,rainy,Multiple
A lone buffalo in the savannah during a storm.,buffalo,savannah,stormy,Single
Two buffalos in the savannah during a storm.,buffalo,savannah,stormy,Two
Three buffalo in a savannah during a storm.,buffalo,savannah,stormy,Three
A herd of buffalos in a savannah during a storm.,buffalo,savannah,stormy,Multiple
A lone buffalo in the savannah amidst foggy weather.,buffalo,savannah,foggy,Single
Two buffalo in the savannah under foggy conditions.,buffalo,savannah,foggy,Two
Three buffalo in the savannah shrouded in fog.,buffalo,savannah,foggy,Three
"

A buffalo herd in a savannah shrouded in fog.",buffalo,savannah,foggy,Multiple
A lone buffalo in the savannah under a windy sky.,buffalo,savannah,windy,Single
Two buffalo in the savannah under a windy sky.,buffalo,savannah,windy,Two
Three buffalo roaming the savannah under a windy sky.,buffalo,savannah,windy,Three
A herd of buffalos in the savannah under a windy sky.,buffalo,savannah,windy,Multiple
A single buffalo in the savannah under clear skies.,buffalo,savannah,clear,Single
Two buffalo in the savannah under clear skies.,buffalo,savannah,clear,Two
Three buffalos in the savannah under clear skies.,buffalo,savannah,clear,Three
"

Clear day in the savannah, dotted with numerous buffalos.",buffalo,savannah,clear,Multiple
A lone buffalo in the savannah during the dry season.,buffalo,savannah,dry season,Single
Two buffalos in a savannah during the dry season.,buffalo,savannah,dry season,Two
Three buffalo in a savannah during the dry season.,buffalo,savannah,dry season,Three
A herd of buffalos in a savannah during the dry season.,buffalo,savannah,dry season,Multiple
A lone buffalo in the savannah during the wet season.,buffalo,savannah,wet season,Single
Two buffalos in a savannah during the wet season.,buffalo,savannah,wet season,Two
Three buffalo in a savannah during the wet season.,buffalo,savannah,wet season,Three
"

A herd of buffalos in a savannah during the wet season.",buffalo,savannah,wet season,Multiple
A single buffalo in the grassland under the sunny sky.,buffalo,grassland,sunny,Single
Two buffalo in the grassland under a sunny sky.,buffalo,grassland,sunny,Two
Three buffalo grazing in the sunlit grassland.,buffalo,grassland,sunny,Three
"

A herd of twenty buffalos grazing in a sunlit grassland.",buffalo,grassland,sunny,Multiple
"

A lone buffalo in the grassland under overcast skies.",buffalo,grassland,cloudy,Single
Two buffalo in the grassland under cloudy weather.,buffalo,grassland,cloudy,Two
Three buffalo grazing in a cloudy grassland.,buffalo,grassland,cloudy,Three
"

A herd of twenty buffalos grazing in a cloudy grassland.",buffalo,grassland,cloudy,Multiple
A lone buffalo in the grassland during a rain shower.,buffalo,grassland,rainy,Single
Two buffalo in the grassland during rain.,buffalo,grassland,rainy,Two
Three buffalo in the grassland during rainfall.,buffalo,grassland,rainy,Three
"

A herd of buffalos in a grassland under a rain-soaked sky.",buffalo,grassland,rainy,Multiple
A lone buffalo in the grassland amidst a stormy weather.,buffalo,grassland,stormy,Single
Two buffalo in the grassland amidst a storm.,buffalo,grassland,stormy,Two
Three buffalo in the grassland amidst a stormy weather.,buffalo,grassland,stormy,Three
"

A herd of buffalos in a grassland as a storm approaches, dark clouds looming overhead.",buffalo,grassland,stormy,Multiple
"

A lone buffalo in the grassland, surrounded by a thick fog.",buffalo,grassland,foggy,Single
Two buffalo in the grassland under foggy conditions.,buffalo,grassland,foggy,Two
Three buffalo in the grassland shrouded by fog.,buffalo,grassland,foggy,Three
"

A buffalo herd in a foggy grassland.",buffalo,grassland,foggy,Multiple
A lone buffalo in the vast grassland under a windy sky.,buffalo,grassland,windy,Single
Two buffalo in the grassland under a windy sky.,buffalo,grassland,windy,Two
Three buffalo grazing in the windy grassland.,buffalo,grassland,windy,Three
"

A herd of twenty buffalos grazing in the windy grassland.",buffalo,grassland,windy,Multiple
A single buffalo in the vast grassland under a clear sky.,buffalo,grassland,clear,Single
Two buffalo in the grassland under clear skies.,buffalo,grassland,clear,Two
Three buffalo grazing in the grassland under clear skies.,buffalo,grassland,clear,Three
Clear day in the grassland. A herd of buffalos grazing.,buffalo,grassland,clear,Multiple
A lone buffalo in the parched grasslands of the dry season.,buffalo,grassland,dry season,Single
Two buffalo in the grassland during the dry season.,buffalo,grassland,dry season,Two
Three buffalo in the grassland during the dry season.,buffalo,grassland,dry season,Three
"

A herd of buffalos grazing in a dry grassland.",buffalo,grassland,dry season,Multiple
A lone buffalo in the wet grassland.,buffalo,grassland,wet season,Single
Two buffalo in the grassland during the wet season.,buffalo,grassland,wet season,Two
Three buffalo in the grassland during the wet season.,buffalo,grassland,wet season,Three
"

A herd of buffalos in a lush grassland during the wet season.",buffalo,grassland,wet season,Multiple
"

A single buffalo drinking at a sunlit watering hole.",buffalo,watering hole,sunny,Single
Two buffalo at a watering hole under sunny weather.,buffalo,watering hole,sunny,Two
Three buffalo in a watering hole under a sunny sky.,buffalo,watering hole,sunny,Three
"

A sunny watering hole teeming with ten buffalos.",buffalo,watering hole,sunny,Multiple
"

A single buffalo drinking at a cloudy watering hole.",buffalo,watering hole,cloudy,Single
Two buffalo at a watering hole in cloudy weather.,buffalo,watering hole,cloudy,Two
Three buffalo in a murky watering hole under cloudy skies.,buffalo,watering hole,cloudy,Three
"

A buffalo herd gathers around a watering hole under cloudy skies.",buffalo,watering hole,cloudy,Multiple
A single buffalo standing in the rain at a watering hole.,buffalo,watering hole,rainy,Single
Two buffalo at a watering hole in the rain.,buffalo,watering hole,rainy,Two
Three buffalo in a rain-soaked watering hole.,buffalo,watering hole,rainy,Three
