new_filename,source_dataset,Unnamed: 0,prompt,class,environment,weather,amount
images/train/FERNANDO_3470.png,FERNANDO,3470.0,Three jetskis in the gulf during a storm.,boat,gulf,stormy,Three
images/train/FERNANDO_5845.png,FERNANDO,5845.0,Two passenger ships in a foggy river.,boat,river,foggy,Two
images/train/FERNANDO_391.png,FERNANDO,391.0,"

A tugboat in the Gulf, surrounded by thick, rolling clouds.",boat,gulf,cloudy,Multiple
images/train/FERNANDO_1639.png,FERNANDO,1639.0,"

Cloudy day at the dock with multiple pedal boats.",boat,dock,cloudy,Multiple
images/train/FERNANDO_8075.png,FERNANDO,8075.0,"

A fishing boat in the Gulf, battered by rain.",boat,gulf,rainy,Multiple
images/train/FERNANDO_3966.png,FERNANDO,3966.0,Three speed_boats at a dockside in clear weather.,boat,dock,clear,Three
images/train/FERNANDO_3942.png,FERNANDO,3942.0,Three speed_boats in a dock during cloudy weather.,boat,dock,cloudy,Three
images/train/FERNANDO_281.png,FERNANDO,281.0,Two tugboats in the open sea under windy conditions.,boat,open sea,windy,Two
images/train/FERNANDO_2903.png,FERNANDO,2903.0,"

Military ships in a fjord under foggy weather.",boat,fjord,foggy,Multiple
images/train/FERNANDO_3112.png,FERNANDO,3112.0,"

A single jetski in the harbor during rainy weather.",boat,harbor,rainy,Single
images/train/FERNANDO_4338.png,FERNANDO,4338.0,Three speed_boats in a snowy canal.,boat,canal,snowy,Three
images/train/FERNANDO_5745.png,FERNANDO,5745.0,"Two passenger ships in a bay, shrouded in snowy weather.",boat,bay,snowy,Two
images/train/FERNANDO_8167.png,FERNANDO,8167.0,"

A fishing boat anchored in a canal, surrounded by calm waters under cloudy skies.",boat,canal,cloudy,Multiple
images/train/FERNANDO_8663.png,FERNANDO,8663.0,"

A human-powered boat in the rocky coast under foggy conditions.",boat,rocky coast,foggy,Multiple
images/train/FERNANDO_1541.png,FERNANDO,1541.0,Two pedal boats in a port during cloudy weather.,boat,port,cloudy,Two
images/train/FERNANDO_2790.png,FERNANDO,2790.0,Three military_ships in a canal with cloudy weather.,boat,canal,cloudy,Three
images/train/FERNANDO_200.png,FERNANDO,200.0,"

A single tugboat anchored in a rocky coast during rainy weather.",boat,rocky coast,rainy,Single
images/train/FERNANDO_5835.png,FERNANDO,5835.0,"

A passenger ship navigating a rainy river.",boat,river,rainy,Multiple
images/train/FERNANDO_2132.png,FERNANDO,2132.0,"

A single pedal boat in the foggy fjord.",boat,fjord,foggy,Single
images/train/FERNANDO_6795.png,FERNANDO,6795.0,Industrial ship in the offshore platform area during rainy weather.,boat,offshore platform area,rainy,Multiple
images/train/FERNANDO_7810.png,FERNANDO,7810.0,Three fishing boats in a shipyard under a sunny sky.,boat,shipyard,sunny,Three
images/train/FERNANDO_9.png,FERNANDO,9.0,Two tugboats in the port during rainy weather.,boat,port,rainy,Two
images/train/FERNANDO_342.png,FERNANDO,342.0,Three tugboats in the coastal waters with foggy weather.,boat,coastal waters,foggy,Three
